Addresss,station,walk_min,sale_price ,layout,floor_area_sqm,building_age,structure,description
土気町,土気,10,9800000,３ＬＤＫ,60,1994年,ＲＣ,土気町、土気から10、1994年、ＲＣの３ＬＤＫ、60のマンションが9800000で取引された。
あすみが丘,土気,19,12000000,３ＬＤＫ,90,1993年,ＲＣ,あすみが丘、土気から19、1993年、ＲＣの３ＬＤＫ、90のマンションが12000000で取引された。
あすみが丘,土気,19,12000000,３ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から19、1993年、ＲＣの３ＬＤＫ、80のマンションが12000000で取引された。
あすみが丘,土気,1,39000000,３ＬＤＫ,75,2023年,ＲＣ,あすみが丘、土気から1、2023年、ＲＣの３ＬＤＫ、75のマンションが39000000で取引された。
あすみが丘,土気,18,11000000,３ＬＤＫ,75,1994年,ＲＣ,あすみが丘、土気から18、1994年、ＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
高津戸町,土気,12,13000000,３ＬＤＫ,80,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
高津戸町,土気,13,17000000,４ＬＤＫ,90,1992年,ＳＲＣ,高津戸町、土気から13、1992年、ＳＲＣの４ＬＤＫ、90のマンションが17000000で取引された。
土気町,土気,12,8800000,２ＬＤＫ,55,2001年,ＲＣ,土気町、土気から12、2001年、ＲＣの２ＬＤＫ、55のマンションが8800000で取引された。
あすみが丘,土気,16,21000000,３ＬＤＫ,75,2007年,ＲＣ,あすみが丘、土気から16、2007年、ＲＣの３ＬＤＫ、75のマンションが21000000で取引された。
あすみが丘,土気,18,9400000,３ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から18、1993年、ＲＣの３ＬＤＫ、80のマンションが9400000で取引された。
あすみが丘,土気,18,14000000,２ＬＤＫ,80,1995年,ＲＣ,あすみが丘、土気から18、1995年、ＲＣの２ＬＤＫ、80のマンションが14000000で取引された。
あすみが丘,土気,,15000000,３ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から、1993年、ＲＣの３ＬＤＫ、80のマンションが15000000で取引された。
あすみが丘,土気,17,15000000,３ＬＤＫ,100,1993年,ＲＣ,あすみが丘、土気から17、1993年、ＲＣの３ＬＤＫ、100のマンションが15000000で取引された。
あすみが丘,土気,20,12000000,４ＬＤＫ,95,1993年,ＲＣ,あすみが丘、土気から20、1993年、ＲＣの４ＬＤＫ、95のマンションが12000000で取引された。
あすみが丘,土気,19,12000000,３ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から19、1993年、ＲＣの３ＬＤＫ、80のマンションが12000000で取引された。
あすみが丘,土気,17,12000000,３ＬＤＫ,80,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、80のマンションが12000000で取引された。
土気町,土気,9,4700000,２ＬＤＫ,55,1994年,ＲＣ,土気町、土気から9、1994年、ＲＣの２ＬＤＫ、55のマンションが4700000で取引された。
あすみが丘,土気,18,14000000,３ＬＤＫ,80,1995年,ＲＣ,あすみが丘、土気から18、1995年、ＲＣの３ＬＤＫ、80のマンションが14000000で取引された。
あすみが丘,土気,18,11000000,３ＬＤＫ,85,1994年,ＲＣ,あすみが丘、土気から18、1994年、ＲＣの３ＬＤＫ、85のマンションが11000000で取引された。
土気町,土気,8,19000000,３ＬＤＫ＋Ｓ,70,1998年,ＲＣ,土気町、土気から8、1998年、ＲＣの３ＬＤＫ＋Ｓ、70のマンションが19000000で取引された。
あすみが丘,土気,16,21000000,３ＬＤＫ,75,2007年,ＲＣ,あすみが丘、土気から16、2007年、ＲＣの３ＬＤＫ、75のマンションが21000000で取引された。
あすみが丘,土気,4,9600000,３ＬＤＫ,65,1993年,ＲＣ,あすみが丘、土気から4、1993年、ＲＣの３ＬＤＫ、65のマンションが9600000で取引された。
あすみが丘,土気,17,15000000,３ＬＤＫ,75,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、75のマンションが15000000で取引された。
高津戸町,土気,12,9900000,３ＬＤＫ,80,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの３ＬＤＫ、80のマンションが9900000で取引された。
高津戸町,土気,14,18000000,３ＬＤＫ,80,1992年,ＳＲＣ,高津戸町、土気から14、1992年、ＳＲＣの３ＬＤＫ、80のマンションが18000000で取引された。
高津戸町,土気,11,12000000,３ＬＤＫ,80,1992年,ＳＲＣ,高津戸町、土気から11、1992年、ＳＲＣの３ＬＤＫ、80のマンションが12000000で取引された。
あすみが丘,土気,14,5500000,３ＬＤＫ,75,,,あすみが丘、土気から14、、の３ＬＤＫ、75のマンションが5500000で取引された。
あすみが丘,土気,21,15000000,３ＬＤＫ,75,,,あすみが丘、土気から21、、の３ＬＤＫ、75のマンションが15000000で取引された。
あすみが丘,土気,15,16000000,,80,1997年,ＲＣ,あすみが丘、土気から15、1997年、ＲＣの、80のマンションが16000000で取引された。
あすみが丘,土気,24,13000000,３ＬＤＫ,70,1994年,ＲＣ,あすみが丘、土気から24、1994年、ＲＣの３ＬＤＫ、70のマンションが13000000で取引された。
あすみが丘,土気,1,39000000,３ＬＤＫ,70,2023年,ＲＣ,あすみが丘、土気から1、2023年、ＲＣの３ＬＤＫ、70のマンションが39000000で取引された。
